Simulation number,run_time,HEURISTIC,ALGORITHM,EXPLORATION_CONSTANT,MAX_ITERATION,EXP_CONST_DECAY,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
5114174,320,False,DPWSolver,100,5000,0.9998,2200180,0,2200180
5114175,791,True,NAIVE,100,5000,0.9998,1950780,0,1950780
5114176,1092,False,NAIVE,100,5000,0.9998,2000018,0,2000018
5114177,112,True,ProgressiveWideningSolver,100,5000,0.9998,1938861,0,1938861
5114178,128,False,ProgressiveWideningSolver,100,5000,0.9998,2100730,0,2100730
5114179,272,True,DPWSolver,100,5000,0.998,2015527,0,2015527
5114180,311,False,DPWSolver,100,5000,0.998,2138110,0,2138110
5114181,804,True,NAIVE,100,5000,0.998,1882637,0,1882637
5114182,1064,False,NAIVE,100,5000,0.998,1972491,0,1972491
5114183,110,True,ProgressiveWideningSolver,100,5000,0.998,2013385,0,2013385
5114184,132,False,ProgressiveWideningSolver,100,5000,0.998,2216395,0,2216395
5114185,3,True,DPWSolver,1000,50,0.9998,1934714,0,1934714
5114186,3,False,DPWSolver,1000,50,0.9998,2322115,0,2322115
5114187,22,True,NAIVE,1000,50,0.9998,2037570,0,2037570
5114188,28,False,NAIVE,1000,50,0.9998,2202530,0,2202530
5114189,2,True,ProgressiveWideningSolver,1000,50,0.9998,2060312,0,2060312
5114190,3,False,ProgressiveWideningSolver,1000,50,0.9998,2123642,0,2123642
5114191,3,True,DPWSolver,1000,50,0.998,1996725,0,1996725
5114192,3,False,DPWSolver,1000,50,0.998,2162811,0,2162811
5114193,22,True,NAIVE,1000,50,0.998,2022162,0,2022162
5114194,25,False,NAIVE,1000,50,0.998,2199733,0,2199733
5114195,2,True,ProgressiveWideningSolver,1000,50,0.998,2058508,0,2058508
5114196,2,False,ProgressiveWideningSolver,1000,50,0.998,2287360,0,2287360
5114197,5,True,DPWSolver,1000,100,0.9998,2004790,0,2004790
5114198,5,False,DPWSolver,1000,100,0.9998,2257523,0,2257523
5114199,54,True,NAIVE,1000,100,0.9998,1979231,0,1979231
5114200,63,False,NAIVE,1000,100,0.9998,2148497,0,2148497
5114201,3,True,ProgressiveWideningSolver,1000,100,0.9998,2011310,0,2011310
5114202,4,False,ProgressiveWideningSolver,1000,100,0.9998,2230488,0,2230488
5114203,5,True,DPWSolver,1000,100,0.998,2073212,0,2073212
5114204,5,False,DPWSolver,1000,100,0.998,2064601,0,2064601
5114205,56,True,NAIVE,1000,100,0.998,1935555,0,1935555
5114206,66,False,NAIVE,1000,100,0.998,2068612,0,2068612
5114207,3,True,ProgressiveWideningSolver,1000,100,0.998,2000771,0,2000771
5114208,3,False,ProgressiveWideningSolver,1000,100,0.998,2184355,0,2184355
5114209,9,True,DPWSolver,1000,200,0.9998,1992933,0,1992933
5114210,10,False,DPWSolver,1000,200,0.9998,2137842,0,2137842
5114211,123,True,NAIVE,1000,200,0.9998,2070698,0,2070698
5114212,151,False,NAIVE,1000,200,0.9998,2164929,0,2164929
5114213,5,True,ProgressiveWideningSolver,1000,200,0.9998,2004496,0,2004496
5114214,5,False,ProgressiveWideningSolver,1000,200,0.9998,2131037,0,2131037
5114215,9,True,DPWSolver,1000,200,0.998,1968904,0,1968904
5114216,11,False,DPWSolver,1000,200,0.998,2169665,0,2169665
5114217,123,True,NAIVE,1000,200,0.998,2044852,0,2044852
5114218,147,False,NAIVE,1000,200,0.998,2155875,0,2155875
5114219,5,True,ProgressiveWideningSolver,1000,200,0.998,1986617,0,1986617
5114220,6,False,ProgressiveWideningSolver,1000,200,0.998,2213408,0,2213408
5114221,24,True,DPWSolver,1000,500,0.9998,2023305,0,2023305
5114222,25,False,DPWSolver,1000,500,0.9998,2120200,0,2120200
5114223,255,True,NAIVE,1000,500,0.9998,1985924,0,1985924
5114224,340,False,NAIVE,1000,500,0.9998,2037403,0,2037403
5114225,9,True,ProgressiveWideningSolver,1000,500,0.9998,2001574,0,2001574
5114226,10,False,ProgressiveWideningSolver,1000,500,0.9998,2249963,0,2249963
5114227,23,True,DPWSolver,1000,500,0.998,1972467,0,1972467
5114228,28,False,DPWSolver,1000,500,0.998,2250193,0,2250193
5114229,260,True,NAIVE,1000,500,0.998,1950196,0,1950196
5114230,323,False,NAIVE,1000,500,0.998,2053592,0,2053592
5114231,9,True,ProgressiveWideningSolver,1000,500,0.998,2045804,0,2045804
5114232,12,False,ProgressiveWideningSolver,1000,500,0.998,2162261,0,2162261
5114233,46,True,DPWSolver,1000,1000,0.9998,1928474,0,1928474
5114234,54,False,DPWSolver,1000,1000,0.9998,2121917,0,2121917
5114235,417,True,NAIVE,1000,1000,0.9998,1909449,0,1909449
5114236,539,False,NAIVE,1000,1000,0.9998,1985392,0,1985392
5114237,18,True,ProgressiveWideningSolver,1000,1000,0.9998,2009508,0,2009508
5114238,21,False,ProgressiveWideningSolver,1000,1000,0.9998,2209450,0,2209450
5114239,45,True,DPWSolver,1000,1000,0.998,1984923,0,1984923
5114240,57,False,DPWSolver,1000,1000,0.998,2143843,0,2143843
5114241,405,True,NAIVE,1000,1000,0.998,1911964,0,1911964
5114242,515,False,NAIVE,1000,1000,0.998,2006358,0,2006358
5114243,16,True,ProgressiveWideningSolver,1000,1000,0.998,1960351,0,1960351
5114244,20,False,ProgressiveWideningSolver,1000,1000,0.998,2201402,0,2201402
5114245,102,True,DPWSolver,1000,2000,0.9998,1984468,0,1984468
5114246,116,False,DPWSolver,1000,2000,0.9998,2069461,0,2069461
5114247,562,True,NAIVE,1000,2000,0.9998,1894790,0,1894790
5114248,759,False,NAIVE,1000,2000,0.9998,1983735,0,1983735
5114249,33,True,ProgressiveWideningSolver,1000,2000,0.9998,1876378,0,1876378
5114250,39,False,ProgressiveWideningSolver,1000,2000,0.9998,2277144,0,2277144
5114251,103,True,DPWSolver,1000,2000,0.998,1977408,0,1977408
5114252,117,False,DPWSolver,1000,2000,0.998,2159891,0,2159891
5114253,546,True,NAIVE,1000,2000,0.998,1949283,0,1949283
5114254,766,False,NAIVE,1000,2000,0.998,1974693,0,1974693
5114255,34,True,ProgressiveWideningSolver,1000,2000,0.998,1998583,0,1998583
5114256,38,False,ProgressiveWideningSolver,1000,2000,0.998,2129691,0,2129691
5114257,278,True,DPWSolver,1000,5000,0.9998,1951115,0,1951115
5114258,315,False,DPWSolver,1000,5000,0.9998,2142335,0,2142335
5114259,856,True,NAIVE,1000,5000,0.9998,1919550,0,1919550
5114260,1071,False,NAIVE,1000,5000,0.9998,2062609,0,2062609
5114261,110,True,ProgressiveWideningSolver,1000,5000,0.9998,1958670,0,1958670
5114262,131,False,ProgressiveWideningSolver,1000,5000,0.9998,2196346,0,2196346
5114263,270,True,DPWSolver,1000,5000,0.998,1955576,0,1955576
5114264,311,False,DPWSolver,1000,5000,0.998,2143046,0,2143046
5114265,832,True,NAIVE,1000,5000,0.998,1897364,0,1897364
5114266,1093,False,NAIVE,1000,5000,0.998,1990872,0,1990872
5114267,113,True,ProgressiveWideningSolver,1000,5000,0.998,1981693,0,1981693
5114268,134,False,ProgressiveWideningSolver,1000,5000,0.998,2161507,0,2161507
5114269,3,True,DPWSolver,10000,50,0.9998,2000521,0,2000521
5114270,3,False,DPWSolver,10000,50,0.9998,2238249,0,2238249
5114271,20,True,NAIVE,10000,50,0.9998,1964886,0,1964886
5114272,27,False,NAIVE,10000,50,0.9998,2133312,0,2133312
5114273,2,True,ProgressiveWideningSolver,10000,50,0.9998,2123895,0,2123895
5114274,3,False,ProgressiveWideningSolver,10000,50,0.9998,2236842,0,2236842
5114275,3,True,DPWSolver,10000,50,0.998,2046223,0,2046223
5114276,3,False,DPWSolver,10000,50,0.998,2224422,0,2224422
5114277,23,True,NAIVE,10000,50,0.998,2030442,0,2030442
5114278,26,False,NAIVE,10000,50,0.998,2212791,0,2212791
5114279,2,True,ProgressiveWideningSolver,10000,50,0.998,2061110,0,2061110
5114280,2,False,ProgressiveWideningSolver,10000,50,0.998,2303562,0,2303562
5114281,5,True,DPWSolver,10000,100,0.9998,2026635,0,2026635
5114282,5,False,DPWSolver,10000,100,0.9998,2114853,0,2114853
5114283,50,True,NAIVE,10000,100,0.9998,1927173,0,1927173
5114284,69,False,NAIVE,10000,100,0.9998,2148691,0,2148691
5114285,3,True,ProgressiveWideningSolver,10000,100,0.9998,1991721,0,1991721
5114286,3,False,ProgressiveWideningSolver,10000,100,0.9998,2195897,0,2195897
5114287,5,True,DPWSolver,10000,100,0.998,1916009,0,1916009
5114288,5,False,DPWSolver,10000,100,0.998,2112251,0,2112251
5114289,53,True,NAIVE,10000,100,0.998,1933160,0,1933160
5114290,67,False,NAIVE,10000,100,0.998,2065752,0,2065752
5114291,3,True,ProgressiveWideningSolver,10000,100,0.998,1987171,0,1987171
5114292,3,False,ProgressiveWideningSolver,10000,100,0.998,2092774,0,2092774
5114293,8,True,DPWSolver,10000,200,0.9998,2037873,0,2037873
5114294,10,False,DPWSolver,10000,200,0.9998,2055769,0,2055769
5114295,120,True,NAIVE,10000,200,0.9998,2054609,0,2054609
5114296,165,False,NAIVE,10000,200,0.9998,2141790,0,2141790
5114297,5,True,ProgressiveWideningSolver,10000,200,0.9998,2038602,0,2038602
5114298,5,False,ProgressiveWideningSolver,10000,200,0.9998,2164552,0,2164552
5114299,9,True,DPWSolver,10000,200,0.998,1939228,0,1939228
5114300,11,False,DPWSolver,10000,200,0.998,2118174,0,2118174
5114301,130,True,NAIVE,10000,200,0.998,1987461,0,1987461
5114302,159,False,NAIVE,10000,200,0.998,2094369,0,2094369
5114303,5,True,ProgressiveWideningSolver,10000,200,0.998,1921596,0,1921596
5114304,6,False,ProgressiveWideningSolver,10000,200,0.998,2307083,0,2307083
5114305,24,True,DPWSolver,10000,500,0.9998,2054915,0,2054915
5114306,29,False,DPWSolver,10000,500,0.9998,2095652,0,2095652
5114307,260,True,NAIVE,10000,500,0.9998,1954628,0,1954628
5114308,325,False,NAIVE,10000,500,0.9998,2027993,0,2027993
5114309,8,True,ProgressiveWideningSolver,10000,500,0.9998,1920022,0,1920022
5114310,10,False,ProgressiveWideningSolver,10000,500,0.9998,2139389,0,2139389
5114311,23,True,DPWSolver,10000,500,0.998,2032726,0,2032726
5114312,29,False,DPWSolver,10000,500,0.998,2127696,0,2127696
5114313,259,True,NAIVE,10000,500,0.998,1952879,0,1952879
5114314,325,False,NAIVE,10000,500,0.998,2007151,0,2007151
5114315,8,True,ProgressiveWideningSolver,10000,500,0.998,1997090,0,1997090
5114316,10,False,ProgressiveWideningSolver,10000,500,0.998,2099499,0,2099499
5114317,51,True,DPWSolver,10000,1000,0.9998,2047436,0,2047436
5114318,54,False,DPWSolver,10000,1000,0.9998,2161381,0,2161381
5114319,404,True,NAIVE,10000,1000,0.9998,1919201,0,1919201
5114320,530,False,NAIVE,10000,1000,0.9998,2011210,0,2011210
5114321,17,True,ProgressiveWideningSolver,10000,1000,0.9998,2032841,0,2032841
5114322,19,False,ProgressiveWideningSolver,10000,1000,0.9998,2033476,0,2033476
5114323,50,True,DPWSolver,10000,1000,0.998,2055147,0,2055147
5114324,54,False,DPWSolver,10000,1000,0.998,2069677,0,2069677
5114325,400,True,NAIVE,10000,1000,0.998,1881377,0,1881377
5114326,520,False,NAIVE,10000,1000,0.998,2015798,0,2015798
5114327,16,True,ProgressiveWideningSolver,10000,1000,0.998,2029443,0,2029443
5114328,21,False,ProgressiveWideningSolver,10000,1000,0.998,2141329,0,2141329
5114329,102,True,DPWSolver,10000,2000,0.9998,2000154,0,2000154
5114330,117,False,DPWSolver,10000,2000,0.9998,2199930,0,2199930
5114331,578,True,NAIVE,10000,2000,0.9998,1934962,0,1934962
5114332,763,False,NAIVE,10000,2000,0.9998,1966354,0,1966354
5114333,34,True,ProgressiveWideningSolver,10000,2000,0.9998,2014239,0,2014239
5114334,39,False,ProgressiveWideningSolver,10000,2000,0.9998,2124408,0,2124408
5114335,106,True,DPWSolver,10000,2000,0.998,1956914,0,1956914
5114336,119,False,DPWSolver,10000,2000,0.998,2175009,0,2175009
5114337,575,True,NAIVE,10000,2000,0.998,1864865,0,1864865
5114338,770,False,NAIVE,10000,2000,0.998,1953475,0,1953475
5114339,37,True,ProgressiveWideningSolver,10000,2000,0.998,1948917,0,1948917
5114340,40,False,ProgressiveWideningSolver,10000,2000,0.998,2222749,0,2222749
5114341,275,True,DPWSolver,10000,5000,0.9998,1967972,0,1967972
5114342,319,False,DPWSolver,10000,5000,0.9998,2171700,0,2171700
5114343,854,True,NAIVE,10000,5000,0.9998,1873380,0,1873380
5114344,1101,False,NAIVE,10000,5000,0.9998,2009122,0,2009122
5114345,112,True,ProgressiveWideningSolver,10000,5000,0.9998,2033743,0,2033743
5114346,135,False,ProgressiveWideningSolver,10000,5000,0.9998,2189230,0,2189230
5114347,282,True,DPWSolver,10000,5000,0.998,1982190,0,1982190
5114348,360,False,DPWSolver,10000,5000,0.998,2072228,0,2072228
