Simulation number,run_time,ALGORITHM,EARLY_STOP,EXPLORATION_CONSTANT,MAX_ITERATION,EXP_CONST_DECAY,DPW_EXPLORATION,DPW_ALPHA,MIN_SET_SIZE,DPW_PROBABILISTIC,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
8656497,24,ProgressiveWideningSolver,False,750000,500,0.998,8,0.2,6,True,1289023,0,1289023
8656498,23,ProgressiveWideningSolver,False,750000,500,0.998,4,0.4,6,True,1290039,0,1290039
8656499,38,ProgressiveWideningSolver,False,750000,500,0.998,8,0.4,6,True,1298669,0,1298669
8656500,22,DPWSolver,False,750000,500,0.998,4,0.2,11,True,1276208,0,1276208
8656501,27,DPWSolver,False,750000,500,0.998,8,0.2,11,True,1267451,0,1267451
8656502,33,DPWSolver,False,750000,500,0.998,4,0.4,11,True,1278480,0,1278480
8656503,41,DPWSolver,False,750000,500,0.998,8,0.4,11,True,1299768,0,1299768
8656504,89,NAIVE,False,750000,500,0.998,8,0.4,11,True,1309578,0,1309578
8656505,11,ProgressiveWideningSolver,False,750000,500,0.998,4,0.2,11,True,1258112,0,1258112
8656506,20,ProgressiveWideningSolver,False,750000,500,0.998,8,0.2,11,True,1279078,0,1279078
8656507,28,ProgressiveWideningSolver,False,750000,500,0.998,4,0.4,11,True,1299007,0,1299007
8656508,46,ProgressiveWideningSolver,False,750000,500,0.998,8,0.4,11,True,1291059,0,1291059
8656509,45,DPWSolver,False,750000,1000,0.9998,4,0.2,6,True,1259299,0,1259299
8656510,54,DPWSolver,False,750000,1000,0.9998,8,0.2,6,True,1253873,0,1253873
8656511,71,DPWSolver,False,750000,1000,0.9998,4,0.4,6,True,1263412,0,1263412
8656512,95,DPWSolver,False,750000,1000,0.9998,8,0.4,6,True,1275983,0,1275983
8656513,175,NAIVE,False,750000,1000,0.9998,8,0.4,6,True,1303712,0,1303712
8656514,26,ProgressiveWideningSolver,False,750000,1000,0.9998,4,0.2,6,True,1292598,0,1292598
8656515,41,ProgressiveWideningSolver,False,750000,1000,0.9998,8,0.2,6,True,1273138,0,1273138
8656516,66,ProgressiveWideningSolver,False,750000,1000,0.9998,4,0.4,6,True,1283755,0,1283755
8656517,103,ProgressiveWideningSolver,False,750000,1000,0.9998,8,0.4,6,True,1294836,0,1294836
8656518,48,DPWSolver,False,750000,1000,0.9998,4,0.2,11,True,1267370,0,1267370
8656519,59,DPWSolver,False,750000,1000,0.9998,8,0.2,11,True,1264605,0,1264605
8656520,64,DPWSolver,False,750000,1000,0.9998,4,0.4,11,True,1248820,0,1248820
8656521,97,DPWSolver,False,750000,1000,0.9998,8,0.4,11,True,1271718,0,1271718
