Simulation number,run_time,ALGORITHM,EARLY_STOP,EXPLORATION_CONSTANT,MAX_ITERATION,EXP_CONST_DECAY,DPW_ALPHA,DPW_PROBABILISTIC,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
4956232,5,ProgressiveWideningSolver,False,50000,200,0.9998,0.2,False,1137055,0,1137055
4956233,10,ProgressiveWideningSolver,False,50000,200,0.9998,0.4,False,1147758,0,1147758
4956234,11,DPWSolver,False,50000,200,0.999,0.2,True,1122301,0,1122301
4956235,11,DPWSolver,False,50000,200,0.999,0.2,False,1122522,0,1122522
4956236,12,DPWSolver,False,50000,200,0.999,0.4,True,1145276,0,1145276
4956237,12,DPWSolver,False,50000,200,0.999,0.4,False,1136733,0,1136733
4956238,37,NAIVE,False,50000,200,0.999,0.4,False,1146074,0,1146074
4956239,5,ProgressiveWideningSolver,False,50000,200,0.999,0.2,False,1148916,0,1148916
4956240,9,ProgressiveWideningSolver,False,50000,200,0.999,0.4,False,1129764,0,1129764
4956241,23,DPWSolver,False,50000,500,0.9998,0.2,True,1094829,0,1094829
4956242,23,DPWSolver,False,50000,500,0.9998,0.2,False,1115831,0,1115831
4956243,34,DPWSolver,False,50000,500,0.9998,0.4,True,1130987,0,1130987
4956244,37,DPWSolver,False,50000,500,0.9998,0.4,False,1107661,0,1107661
4956245,81,NAIVE,False,50000,500,0.9998,0.4,False,1139041,0,1139041
4956246,9,ProgressiveWideningSolver,False,50000,500,0.9998,0.2,False,1160815,0,1160815
4956247,26,ProgressiveWideningSolver,False,50000,500,0.9998,0.4,False,1134019,0,1134019
4956248,27,DPWSolver,False,50000,500,0.999,0.2,True,1129726,0,1129726
4956249,26,DPWSolver,False,50000,500,0.999,0.2,False,1122099,0,1122099
4956250,37,DPWSolver,False,50000,500,0.999,0.4,True,1109232,0,1109232
4956251,37,DPWSolver,False,50000,500,0.999,0.4,False,1110957,0,1110957
4956252,80,NAIVE,False,50000,500,0.999,0.4,False,1126893,0,1126893
4956253,9,ProgressiveWideningSolver,False,50000,500,0.999,0.2,False,1167564,0,1167564
4956254,25,ProgressiveWideningSolver,False,50000,500,0.999,0.4,False,1126731,0,1126731
4956255,52,DPWSolver,False,50000,1000,0.9998,0.2,True,1115681,0,1115681
4956256,52,DPWSolver,False,50000,1000,0.9998,0.2,False,1121885,0,1121885
4956257,74,DPWSolver,False,50000,1000,0.9998,0.4,True,1128939,0,1128939
4956258,74,DPWSolver,False,50000,1000,0.9998,0.4,False,1118729,0,1118729
4956259,126,NAIVE,False,50000,1000,0.9998,0.4,False,1118952,0,1118952
4956260,17,ProgressiveWideningSolver,False,50000,1000,0.9998,0.2,False,1141706,0,1141706
4956261,42,ProgressiveWideningSolver,False,50000,1000,0.9998,0.4,False,1110907,0,1110907
4956262,52,DPWSolver,False,50000,1000,0.999,0.2,True,1117544,0,1117544
4956263,52,DPWSolver,False,50000,1000,0.999,0.2,False,1121137,0,1121137
4956264,72,DPWSolver,False,50000,1000,0.999,0.4,True,1114949,0,1114949
4956265,73,DPWSolver,False,50000,1000,0.999,0.4,False,1123248,0,1123248
4956266,111,NAIVE,False,50000,1000,0.999,0.4,False,1129548,0,1129548
4956267,16,ProgressiveWideningSolver,False,50000,1000,0.999,0.2,False,1169416,0,1169416
4956268,41,ProgressiveWideningSolver,False,50000,1000,0.999,0.4,False,1133422,0,1133422
4956269,2,DPWSolver,False,100000,20,0.9998,0.2,True,1199862,0,1199862
4956270,2,DPWSolver,False,100000,20,0.9998,0.2,False,1200498,0,1200498
4956271,2,DPWSolver,False,100000,20,0.9998,0.4,True,1195370,0,1195370
4956272,2,DPWSolver,False,100000,20,0.9998,0.4,False,1182794,0,1182794
4956273,6,NAIVE,False,100000,20,0.9998,0.4,False,1196835,0,1196835
4956274,1,ProgressiveWideningSolver,False,100000,20,0.9998,0.2,False,1228679,0,1228679
4956275,2,ProgressiveWideningSolver,False,100000,20,0.9998,0.4,False,1220319,0,1220319
4956276,2,DPWSolver,False,100000,20,0.999,0.2,True,1153259,0,1153259
4956277,2,DPWSolver,False,100000,20,0.999,0.2,False,1196680,0,1196680
4956278,2,DPWSolver,False,100000,20,0.999,0.4,True,1222728,0,1222728
4956279,2,DPWSolver,False,100000,20,0.999,0.4,False,1163380,0,1163380
4956280,5,NAIVE,False,100000,20,0.999,0.4,False,1179570,0,1179570
4956281,1,ProgressiveWideningSolver,False,100000,20,0.999,0.2,False,1206684,0,1206684
4956282,1,ProgressiveWideningSolver,False,100000,20,0.999,0.4,False,1196814,0,1196814
4956283,3,DPWSolver,False,100000,50,0.9998,0.2,True,1169624,0,1169624
4956284,3,DPWSolver,False,100000,50,0.9998,0.2,False,1116987,0,1116987
4956285,3,DPWSolver,False,100000,50,0.9998,0.4,True,1170920,0,1170920
4956286,3,DPWSolver,False,100000,50,0.9998,0.4,False,1147387,0,1147387
4956287,12,NAIVE,False,100000,50,0.9998,0.4,False,1196343,0,1196343
4956288,3,ProgressiveWideningSolver,False,100000,50,0.9998,0.2,False,1160824,0,1160824
4956289,3,ProgressiveWideningSolver,False,100000,50,0.9998,0.4,False,1172727,0,1172727
4956290,3,DPWSolver,False,100000,50,0.999,0.2,True,1157468,0,1157468
4956291,3,DPWSolver,False,100000,50,0.999,0.2,False,1139440,0,1139440
4956292,4,DPWSolver,False,100000,50,0.999,0.4,True,1158191,0,1158191
4956293,4,DPWSolver,False,100000,50,0.999,0.4,False,1168811,0,1168811
4956294,13,NAIVE,False,100000,50,0.999,0.4,False,1189957,0,1189957
4956295,3,ProgressiveWideningSolver,False,100000,50,0.999,0.2,False,1138682,0,1138682
4956296,3,ProgressiveWideningSolver,False,100000,50,0.999,0.4,False,1137314,0,1137314
4956297,8,DPWSolver,False,100000,100,0.9998,0.2,True,1132593,0,1132593
4956298,7,DPWSolver,False,100000,100,0.9998,0.2,False,1132272,0,1132272
4956299,6,DPWSolver,False,100000,100,0.9998,0.4,True,1168793,0,1168793
4956300,9,DPWSolver,False,100000,100,0.9998,0.4,False,1120224,0,1120224
4956301,26,NAIVE,False,100000,100,0.9998,0.4,False,1169850,0,1169850
4956302,4,ProgressiveWideningSolver,False,100000,100,0.9998,0.2,False,1142698,0,1142698
4956303,6,ProgressiveWideningSolver,False,100000,100,0.9998,0.4,False,1150475,0,1150475
4956304,6,DPWSolver,False,100000,100,0.999,0.2,True,1126562,0,1126562
4956305,6,DPWSolver,False,100000,100,0.999,0.2,False,1143206,0,1143206
4956306,6,DPWSolver,False,100000,100,0.999,0.4,True,1146546,0,1146546
4956307,6,DPWSolver,False,100000,100,0.999,0.4,False,1134303,0,1134303
4956308,26,NAIVE,False,100000,100,0.999,0.4,False,1169434,0,1169434
4956309,4,ProgressiveWideningSolver,False,100000,100,0.999,0.2,False,1144215,0,1144215
4956310,5,ProgressiveWideningSolver,False,100000,100,0.999,0.4,False,1160637,0,1160637
4956311,11,DPWSolver,False,100000,200,0.9998,0.2,True,1122778,0,1122778
4956312,11,DPWSolver,False,100000,200,0.9998,0.2,False,1110218,0,1110218
4956313,13,DPWSolver,False,100000,200,0.9998,0.4,True,1119977,0,1119977
4956314,13,DPWSolver,False,100000,200,0.9998,0.4,False,1156908,0,1156908
4956315,41,NAIVE,False,100000,200,0.9998,0.4,False,1139334,0,1139334
4956316,6,ProgressiveWideningSolver,False,100000,200,0.9998,0.2,False,1129749,0,1129749
4956317,12,ProgressiveWideningSolver,False,100000,200,0.9998,0.4,False,1132518,0,1132518
4956318,11,DPWSolver,False,100000,200,0.999,0.2,True,1122209,0,1122209
4956319,11,DPWSolver,False,100000,200,0.999,0.2,False,1111559,0,1111559
4956320,12,DPWSolver,False,100000,200,0.999,0.4,True,1131359,0,1131359
4956321,13,DPWSolver,False,100000,200,0.999,0.4,False,1139333,0,1139333
4956322,42,NAIVE,False,100000,200,0.999,0.4,False,1161841,0,1161841
4956323,6,ProgressiveWideningSolver,False,100000,200,0.999,0.2,False,1147181,0,1147181
4956324,11,ProgressiveWideningSolver,False,100000,200,0.999,0.4,False,1128716,0,1128716
4956325,26,DPWSolver,False,100000,500,0.9998,0.2,True,1104283,0,1104283
4956326,26,DPWSolver,False,100000,500,0.9998,0.2,False,1110186,0,1110186
4956327,38,DPWSolver,False,100000,500,0.9998,0.4,True,1117104,0,1117104
4956328,39,DPWSolver,False,100000,500,0.9998,0.4,False,1125525,0,1125525
4956329,89,NAIVE,False,100000,500,0.9998,0.4,False,1122859,0,1122859
4956330,10,ProgressiveWideningSolver,False,100000,500,0.9998,0.2,False,1135608,0,1135608
4956331,30,ProgressiveWideningSolver,False,100000,500,0.9998,0.4,False,1128210,0,1128210
4956332,25,DPWSolver,False,100000,500,0.999,0.2,True,1098669,0,1098669
4956333,26,DPWSolver,False,100000,500,0.999,0.2,False,1096501,0,1096501
4956334,37,DPWSolver,False,100000,500,0.999,0.4,True,1097930,0,1097930
4956335,38,DPWSolver,False,100000,500,0.999,0.4,False,1112345,0,1112345
4956336,88,NAIVE,False,100000,500,0.999,0.4,False,1124076,0,1124076
4956337,9,ProgressiveWideningSolver,False,100000,500,0.999,0.2,False,1167615,0,1167615
4956338,28,ProgressiveWideningSolver,False,100000,500,0.999,0.4,False,1109004,0,1109004
4956339,55,DPWSolver,False,100000,1000,0.9998,0.2,True,1106711,0,1106711
4956340,54,DPWSolver,False,100000,1000,0.9998,0.2,False,1106965,0,1106965
4956341,78,DPWSolver,False,100000,1000,0.9998,0.4,True,1149048,0,1149048
4956342,79,DPWSolver,False,100000,1000,0.9998,0.4,False,1119758,0,1119758
4956343,142,NAIVE,False,100000,1000,0.9998,0.4,False,1125862,0,1125862
4956344,18,ProgressiveWideningSolver,False,100000,1000,0.9998,0.2,False,1139171,0,1139171
4956345,55,ProgressiveWideningSolver,False,100000,1000,0.9998,0.4,False,1110467,0,1110467
4956346,53,DPWSolver,False,100000,1000,0.999,0.2,True,1101343,0,1101343
4956347,54,DPWSolver,False,100000,1000,0.999,0.2,False,1105172,0,1105172
4956348,74,DPWSolver,False,100000,1000,0.999,0.4,True,1142302,0,1142302
4956349,76,DPWSolver,False,100000,1000,0.999,0.4,False,1143001,0,1143001
4956350,130,NAIVE,False,100000,1000,0.999,0.4,False,1111837,0,1111837
4956351,17,ProgressiveWideningSolver,False,100000,1000,0.999,0.2,False,1153949,0,1153949
4956352,45,ProgressiveWideningSolver,False,100000,1000,0.999,0.4,False,1112972,0,1112972
4956353,2,DPWSolver,False,500000,20,0.9998,0.2,True,1182718,0,1182718
4956354,1,DPWSolver,False,500000,20,0.9998,0.2,False,1194296,0,1194296
4956355,2,DPWSolver,False,500000,20,0.9998,0.4,True,1179118,0,1179118
4956356,2,DPWSolver,False,500000,20,0.9998,0.4,False,1184468,0,1184468
4956357,5,NAIVE,False,500000,20,0.9998,0.4,False,1194408,0,1194408
4956358,1,ProgressiveWideningSolver,False,500000,20,0.9998,0.2,False,1172398,0,1172398
4956359,1,ProgressiveWideningSolver,False,500000,20,0.9998,0.4,False,1186485,0,1186485
4956360,2,DPWSolver,False,500000,20,0.999,0.2,True,1177236,0,1177236
4956361,2,DPWSolver,False,500000,20,0.999,0.2,False,1153115,0,1153115
4956362,2,DPWSolver,False,500000,20,0.999,0.4,True,1174786,0,1174786
4956363,2,DPWSolver,False,500000,20,0.999,0.4,False,1170344,0,1170344
4956364,5,NAIVE,False,500000,20,0.999,0.4,False,1199473,0,1199473
4956365,1,ProgressiveWideningSolver,False,500000,20,0.999,0.2,False,1178640,0,1178640
4956366,1,ProgressiveWideningSolver,False,500000,20,0.999,0.4,False,1174326,0,1174326
4956367,3,DPWSolver,False,500000,50,0.9998,0.2,True,1153417,0,1153417
4956368,3,DPWSolver,False,500000,50,0.9998,0.2,False,1147086,0,1147086
4956369,3,DPWSolver,False,500000,50,0.9998,0.4,True,1171132,0,1171132
4956370,3,DPWSolver,False,500000,50,0.9998,0.4,False,1155559,0,1155559
4956371,13,NAIVE,False,500000,50,0.9998,0.4,False,1176980,0,1176980
4956372,3,ProgressiveWideningSolver,False,500000,50,0.9998,0.2,False,1191169,0,1191169
4956373,3,ProgressiveWideningSolver,False,500000,50,0.9998,0.4,False,1153584,0,1153584
4956374,3,DPWSolver,False,500000,50,0.999,0.2,True,1177581,0,1177581
4956375,3,DPWSolver,False,500000,50,0.999,0.2,False,1156458,0,1156458
4956376,3,DPWSolver,False,500000,50,0.999,0.4,True,1127169,0,1127169
4956377,3,DPWSolver,False,500000,50,0.999,0.4,False,1176877,0,1176877
4956378,12,NAIVE,False,500000,50,0.999,0.4,False,1146276,0,1146276
4956379,3,ProgressiveWideningSolver,False,500000,50,0.999,0.2,False,1139319,0,1139319
4956380,3,ProgressiveWideningSolver,False,500000,50,0.999,0.4,False,1155171,0,1155171
4956381,6,DPWSolver,False,500000,100,0.9998,0.2,True,1167236,0,1167236
4956382,6,DPWSolver,False,500000,100,0.9998,0.2,False,1143098,0,1143098
4956383,6,DPWSolver,False,500000,100,0.9998,0.4,True,1113500,0,1113500
4956384,6,DPWSolver,False,500000,100,0.9998,0.4,False,1159859,0,1159859
4956385,24,NAIVE,False,500000,100,0.9998,0.4,False,1181753,0,1181753
4956386,5,ProgressiveWideningSolver,False,500000,100,0.9998,0.2,False,1147192,0,1147192
4956387,7,ProgressiveWideningSolver,False,500000,100,0.9998,0.4,False,1189908,0,1189908
4956388,6,DPWSolver,False,500000,100,0.999,0.2,True,1138806,0,1138806
4956389,6,DPWSolver,False,500000,100,0.999,0.2,False,1129487,0,1129487
4956390,7,DPWSolver,False,500000,100,0.999,0.4,True,1131250,0,1131250
4956391,8,DPWSolver,False,500000,100,0.999,0.4,False,1140315,0,1140315
4956392,25,NAIVE,False,500000,100,0.999,0.4,False,1178455,0,1178455
4956393,5,ProgressiveWideningSolver,False,500000,100,0.999,0.2,False,1141459,0,1141459
4956394,6,ProgressiveWideningSolver,False,500000,100,0.999,0.4,False,1147707,0,1147707
4956395,11,DPWSolver,False,500000,200,0.9998,0.2,True,1127247,0,1127247
4956396,12,DPWSolver,False,500000,200,0.9998,0.2,False,1130300,0,1130300
4956397,13,DPWSolver,False,500000,200,0.9998,0.4,True,1103873,0,1103873
